Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Mario Balotelli,33.0,it ITA,"Forward, Midfielder",Genoa,it Serie A,6,0,0
Abdoulaye Bamba,34.0,ci CIV,Defender,Angers,fr Ligue 1,19,0,0
Jonathan Bamba,28.0,ci CIV,"Forward, Midfielder",Celta Vigo,es La Liga,12,0,1
Mohamed Bamba,19.0,ci CIV,Midfielder,Reims,fr Ligue 1,2,0,0
Samuel Bamba,20.0,de GER,"Forward, Midfielder",Bochum,de Bundesliga,5,0,0
Lameck Banda,23.0,zm ZAM,"Forward, Midfielder",Lecce,it Serie A,15,0,1
Daniel Bandeira,24.0,pt POR,Midfielder,Hellas Verona,it Serie A,11,0,0
Mattia Bani,30.0,it ITA,Defender,Genoa,it Serie A,20,0,0
Noahkai Banks,17.0,us USA,Defender,Augsburg,de Bundesliga,8,0,0
Scott Banks,22.0,sct SCO,"Forward, Midfielder",St. Pauli,de Bundesliga,12,0,0
Adrian Baquerin,17.0,es ESP,Forward,Valladolid,es La Liga,5,0,0
Antonín Barák,29.0,cz CZE,Midfielder,Fiorentina,it Serie A,1,0,0
Federico Barba,30.0,it ITA,Defender,Como,it Serie A,7,0,0
Valentín Barco,20.0,ar ARG,"Midfielder, Defender",Strasbourg,fr Ligue 1,14,0,2
Bradley Barcola,21.0,fr FRA,Forward,Paris S-G,fr Ligue 1,34,14,10
Melvin Bard,23.0,fr FRA,"Defender, Midfielder",Nice,fr Ligue 1,24,2,1
Nicolò Barella,27.0,it ITA,Midfielder,Inter,it Serie A,33,3,6
Gabriel Bares,23.0,ch SUI,"Midfielder, Defender",Montpellier,fr Ligue 1,6,0,0
Borna Barišić,31.0,hr CRO,Defender,Leganés,es La Liga,1,0,0
Téo Barisic,19.0,fr FRA,Defender,Lyon,fr Ligue 1,1,0,0
Kike Barja,27.0,es ESP,"Forward, Midfielder",Osasuna,es La Liga,15,0,1
Ross Barkley,30.0,eng ENG,Midfielder,Aston Villa,eng Premier League,20,3,1
Aymen Barkok,26.0,ma MAR,Midfielder,Mainz 05,de Bundesliga,4,0,0
Harvey Barnes,26.0,eng ENG,Forward,Newcastle Utd,eng Premier League,33,9,4
Enzo Barrenechea,23.0,ar ARG,Midfielder,Valencia,es La Liga,30,1,2
Ander Barrenetxea,22.0,es ESP,"Midfielder, Forward",Real Sociedad,es La Liga,30,1,3
Pablo Barrios,21.0,es ESP,Midfielder,Atlético Madrid,es La Liga,31,1,4
Thierno Barry,21.0,fr FRA,Forward,Villarreal,es La Liga,35,11,4
Davide Bartesaghi,18.0,it ITA,Defender,Milan,it Serie A,4,0,0
Marc Bartra,33.0,es ESP,Defender,Betis,es La Liga,25,2,1
Federico Baschirotto,27.0,it ITA,Defender,Lecce,it Serie A,38,2,0
Daniele Baselli,32.0,it ITA,Midfielder,Como,it Serie A,2,0,0
Calvin Bassey,24.0,ng NGA,Defender,Fulham,eng Premier League,35,1,0
Aboubacar Bassinga,19.0,ci CIV,Midfielder,Las Palmas,es La Liga,1,0,0
Alessandro Bastoni,25.0,it ITA,Defender,Inter,it Serie A,33,1,5
Augusto Batalla,28.0,ar ARG,Goalkeeper,Rayo Vallecano,es La Liga,32,0,0
Michy Batshuayi,30.0,be BEL,Forward,Eint Frankfurt,de Bundesliga,10,3,0
Dylan Batubinsika,28.0,cd COD,Defender,Saint-Étienne,fr Ligue 1,25,1,0
Maximilian Bauer,24.0,de GER,Defender,Augsburg,de Bundesliga,11,0,0
Oliver Baumann,34.0,de GER,Goalkeeper,Hoffenheim,de Bundesliga,28,0,0
Christoph Baumgartner,24.0,at AUT,Midfielder,RB Leipzig,de Bundesliga,31,2,1
Rafael Bauza,19.0,es ESP,Midfielder,Espanyol,es La Liga,5,0,0
