Player,Age,Nation,Pos,Squad,Comp,MP,Gls,Ast
Borna Barišić,31.0,hr CRO,DF,Leganés,es La Liga,1,0,0
Téo Barisic,19.0,fr FRA,DF,Lyon,fr Ligue 1,1,0,0
Kike Barja,27.0,es ESP,"FW,MF",Osasuna,es La Liga,15,0,1
Ross Barkley,30.0,eng ENG,MF,Aston Villa,eng Premier League,20,3,1
Aymen Barkok,26.0,ma MAR,MF,Mainz 05,de Bundesliga,4,0,0
Harvey Barnes,26.0,eng ENG,FW,Newcastle Utd,eng Premier League,33,9,4
Enzo Barrenechea,23.0,ar ARG,MF,Valencia,es La Liga,30,1,2
Ander Barrenetxea,22.0,es ESP,"MF,FW",Real Sociedad,es La Liga,30,1,3
Pablo Barrios,21.0,es ESP,MF,Atlético Madrid,es La Liga,31,1,4
Thierno Barry,21.0,fr FRA,FW,Villarreal,es La Liga,35,11,4
Davide Bartesaghi,18.0,it ITA,DF,Milan,it Serie A,4,0,0
Marc Bartra,33.0,es ESP,DF,Betis,es La Liga,25,2,1
Federico Baschirotto,27.0,it ITA,DF,Lecce,it Serie A,38,2,0
Daniele Baselli,32.0,it ITA,MF,Como,it Serie A,2,0,0
Calvin Bassey,24.0,ng NGA,DF,Fulham,eng Premier League,35,1,0
Aboubacar Bassinga,19.0,ci CIV,MF,Las Palmas,es La Liga,1,0,0
Alessandro Bastoni,25.0,it ITA,DF,Inter,it Serie A,33,1,5
Augusto Batalla,28.0,ar ARG,GK,Rayo Vallecano,es La Liga,32,0,0
Michy Batshuayi,30.0,be BEL,FW,Eint Frankfurt,de Bundesliga,10,3,0
Dylan Batubinsika,28.0,cd COD,DF,Saint-Étienne,fr Ligue 1,25,1,0
Maximilian Bauer,24.0,de GER,DF,Augsburg,de Bundesliga,11,0,0
Oliver Baumann,34.0,de GER,GK,Hoffenheim,de Bundesliga,28,0,0
Christoph Baumgartner,24.0,at AUT,MF,RB Leipzig,de Bundesliga,31,2,1
Rafael Bauza,19.0,es ESP,MF,Espanyol,es La Liga,5,0,0
Altay Bayındır,26.0,tr TUR,GK,Manchester Utd,eng Premier League,4,0,0
Ihlas Bebou,30.0,tg TOG,MF,Hoffenheim,de Bundesliga,1,0,0
Adrian Beck,27.0,de GER,"MF,FW",Heidenheim,de Bundesliga,32,4,1
Sheraldo Becker,29.0,sr SUR,"FW,MF",Real Sociedad,es La Liga,22,2,1
Timo Becker,27.0,de GER,DF,Holstein Kiel,de Bundesliga,30,0,2
